,Ablation coef.,Angle,Aspect Ratio,CPU Time (s),CSFD exponent,Density [kg/m3],Dispersion [m],Effective Diameter [m],Frag. sep. coef.,Large Crater Fraction,Mass [kg],Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters,Radius [m],Strength [kPa],Strength exponent,Velocity [km/s]
0,2.32E-08,41.82443516,1,0.003521204,0,3354.845008,0,5.222864004,0.1,1,21.5666636,5.222864004,5.222864004,5.222864004,1,1,0.115347264,1950.701206,0.25,6.93452712
1,2.60E-08,19.7713206,1,0.006745815,0,2696.504246,0,2.826041896,0.1,1,24.60109387,2.826041896,2.826041896,2.826041896,1,1,0.12962484,305.9840057,0.25,7.620954288
2,1.48E-08,55.96940467,0.228889587,0.726541996,-2.176473029,3620.147615,26.28682623,4.299251473,0.1,0.333333333,24.56590442,3.282861197,1.582958321,1.035482213,12,4,0.117446287,62.43101733,0.25,10.51588626
3,2.09E-08,29.89268015,0.073290212,0.208559036,-1.836695896,2515.598532,106.731999,3.725801178,0.1,0.714285714,110.7134638,2.673147697,1.798186161,1.085177251,7,5,0.219023223,416.8555682,0.25,18.18596374
4,2.59E-08,41.87989153,1,0.00314188,0,1464.588716,0,20.20840581,0.1,1,1090.561867,20.20840581,20.20840581,20.20840581,1,1,0.562274867,2511.464314,0.25,9.650391132
5,2.77E-08,40.3390581,1,0.211776972,0,3910.47534,40.24587991,2.655668952,0.1,0.75,16.6973193,2.209733798,1.459124158,1.072289266,4,3,0.100641291,230.5210729,0.25,7.292663033
6,1.71E-08,68.42213838,0.296733392,0.206161976,-1.708705703,1402.165614,38.68004103,3.498479024,0.1,0.571428571,15.76069829,2.841976124,1.423369067,1.01318884,7,4,0.138961932,35.18801636,0.25,8.516294072
7,1.26E-08,72.58778319,0.220492216,1.248286009,-3.246476448,1986.585419,36.55439344,2.358526592,0.1,1,30.02001544,1.620271258,1.175297781,1.002520641,6,6,0.153369271,35.01657106,0.25,16.75342009
8,3.14E-08,37.77030475,1,0.004198313,0,3528.237181,8.682527087,14.3978189,0.1,1,339.2278321,13.19573248,11.0094948,8.823257112,2,2,0.284194083,1125.150682,0.25,13.08252697
9,1.75E-08,25.68151868,1,0.004947901,0,2145.149523,0,3.363732025,0.1,1,19.16580334,3.363732025,3.363732025,3.363732025,1,1,0.128724224,1809.711059,0.25,8.008934861
