ID,Aspect Ratio,C-S ratio,CSFD exponent,Dispersion [m],Effective Diameter [m],Large Crater Fraction,Maximum Diameter [m],No. of Clusters,No. of Craters,No. of Large Craters,Total
196,1.119567419,1.248768473,0.066594141,0.33575344,1.307013058,0.21189274,0.763604817,1627,0.866110049,0.40217098,5.072706644
197,1.495544746,1.353092784,0.095560934,0.752747671,1.616079786,0.285411992,0.498973076,1503,0.728718929,0.435620138,5.908657273
198,1.053788593,1.354330709,0.115035749,0.469687546,1.122824608,0.279741726,0.62678937,1630,0.664833256,0.411703255,4.744404103
201,1.544212948,1.220930233,0.24515583,0.731521873,1.654193185,0.375219802,1.635848628,337,0.562750155,0.527281852,7.276184272
202,1.710032763,6.32,0.16829995,0.671003219,0.989345105,0.98607075,1.008441,444,1.870246438,0.307718402,7.711157627
203,1.641768096,1.585714286,0.116053159,1.149071174,1.379254819,0.506013088,0.954171642,326,0.990659789,0.401843823,7.138835591
204,1.846674665,0.798076923,0.114530932,1.660714149,1.338366673,0.203836154,1.599529695,268,1.337904017,0.555160716,8.656717
205,1.878483892,0.598290598,0.19073785,1.84237171,1.716432762,1.317588817,1.431087282,205,1.347315983,0.806679949,10.53069825
206,4.040343952,6.47826087,0.24611017,1.093133058,2.103610775,0.410456442,1.222465082,400,0.52783192,0.735562642,10.37951404
207,2.256520491,3.268292683,0.243204917,0.854675454,0.912555721,0.343763633,1.071458678,431,1.042053264,0.582710145,7.306942304
208,3.432015686,1.445945946,0.145426558,0.600974992,2.0497443,1.39534066,1.011407095,321,2.051300144,0.524363776,11.21057321
209,1.378756628,0.885416667,0.333816148,0.897491838,2.369578321,0.470627832,1.652047377,254,1.371714824,0.756864988,9.230897957
210,106.9618358,0.836538462,0.229600811,5.444514268,1.410321973,0.672718414,1.449800622,293,0.714097603,0.747796442,117.630686
211,10.1233404,1.363636364,0.159532231,1.50654588,1.737725672,0.472654487,0.823660975,318,0.627156977,0.414012638,15.86462926
212,0.810882796,1.676923077,0.108460271,0.818210447,3.140206414,0.625252689,1.806029153,302,1.31473493,0.667344791,9.291121492
213,1.467973581,1.225,0.169276701,0.869507447,3.138411729,0.575059859,2.436268513,303,1.113806567,0.476055504,10.2463599
214,6.332523734,1.219512195,0.09148259,1.529388241,2.055403295,0.403282646,1.386096064,316,0.707752092,0.413149231,12.91907789
215,1.153915688,1.11627907,0.091808945,0.951693071,1.562036154,0.483813259,0.792812645,318,0.946531182,0.376351461,6.358962404
216,8.393612868,1.214285714,0.19636408,0.69615432,5.015032543,0.478863518,1.028910407,286,1.80953671,0.622920026,18.24139447
217,13.13255567,1.271604938,0.124491267,0.707993041,2.445598898,0.389961209,1.498431701,341,0.876072757,0.50964531,19.68474985
218,35.80451273,1.093023256,59.94639341,2.737694677,2.110699342,1088.859902,130.5157648,247,8.2192942,37.65341214,1365.847673
219,2.551348695,0.948979592,1.626754416,0.626676571,2.63133098,0.273040483,6.482902802,297,3.81143328,2.339288181,20.34277541
220,3.576671558,1.103448276,0.842977153,0.705164548,2.314066719,0.287992612,0.55962247,275,0.979866597,0.796571874,10.06293353
221,4.556801815,1.047619048,0.520859278,0.56809714,1.731641512,0.220937485,1.09833194,260,1.252183265,1.159216085,11.10806852
